year,planning_area_clean,subzone_clean,model,forecast_children_18m_to_6
2029,BOON LAY,LIU FANG,Linear,0.0
2030,BOON LAY,LIU FANG,Linear,0.0
2026,BOON LAY,LIU FANG,Prophet,0.0
2027,BOON LAY,LIU FANG,Prophet,0.0
2028,BOON LAY,LIU FANG,Prophet,0.0
2029,BOON LAY,LIU FANG,Prophet,0.0
2030,BOON LAY,LIU FANG,Prophet,0.0
2026,BOON LAY,SAMULUN,Linear,0.0
2027,BOON LAY,SAMULUN,Linear,0.0
2028,BOON LAY,SAMULUN,Linear,0.0
2029,BOON LAY,SAMULUN,Linear,0.0
2030,BOON LAY,SAMULUN,Linear,0.0
2026,BOON LAY,SAMULUN,Prophet,0.0
2027,BOON LAY,SAMULUN,Prophet,0.0
2028,BOON LAY,SAMULUN,Prophet,0.0
2029,BOON LAY,SAMULUN,Prophet,0.0
2030,BOON LAY,SAMULUN,Prophet,0.0
2026,BOON LAY,SHIPYARD,Linear,0.0
2027,BOON LAY,SHIPYARD,Linear,0.0
2028,BOON LAY,SHIPYARD,Linear,0.0
2029,BOON LAY,SHIPYARD,Linear,0.0
2030,BOON LAY,SHIPYARD,Linear,0.0
2026,BOON LAY,SHIPYARD,Prophet,0.0
2027,BOON LAY,SHIPYARD,Prophet,0.0
2028,BOON LAY,SHIPYARD,Prophet,0.0
2029,BOON LAY,SHIPYARD,Prophet,0.0
2030,BOON LAY,SHIPYARD,Prophet,0.0
2026,BOON LAY,TUKANG,Linear,0.0
2027,BOON LAY,TUKANG,Linear,0.0
2028,BOON LAY,TUKANG,Linear,0.0
2029,BOON LAY,TUKANG,Linear,0.0
2030,BOON LAY,TUKANG,Linear,0.0
2026,BOON LAY,TUKANG,Prophet,0.0
2027,BOON LAY,TUKANG,Prophet,0.0
2028,BOON LAY,TUKANG,Prophet,0.0
2029,BOON LAY,TUKANG,Prophet,0.0
2030,BOON LAY,TUKANG,Prophet,0.0
2026,BUKIT BATOK,BRICKWORKS,Linear,5375.0
2027,BUKIT BATOK,BRICKWORKS,Linear,5851.636363636353
2028,BUKIT BATOK,BRICKWORKS,Linear,6328.272727272706
2029,BUKIT BATOK,BRICKWORKS,Linear,6804.909090909059
2030,BUKIT BATOK,BRICKWORKS,Linear,7281.545454545412
2026,BUKIT BATOK,BRICKWORKS,Prophet,3453.9493845350726
2027,BUKIT BATOK,BRICKWORKS,Prophet,3631.2661223475457
2028,BUKIT BATOK,BRICKWORKS,Prophet,3809.0686594416975
2029,BUKIT BATOK,BRICKWORKS,Prophet,3986.3853972541715
2030,BUKIT BATOK,BRICKWORKS,Prophet,4163.702135066645
