year,planning_area_clean,subzone_clean,model,forecast_children_18m_to_6,bto_units_effective,bto_demand_addition,forecast_demand_children
2026,MARINE PARADE,EAST COAST,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,MARINE PARADE,KATONG,XGBoost,438.2981872558594,0.0,0.0,438.2981872558594
2026,MARINE PARADE,MARINA EAST MP,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,MARINE PARADE,MARINE PARADE,XGBoost,1179.264892578125,0.0,0.0,1179.264892578125
2026,MARINE PARADE,MOUNTBATTEN,XGBoost,520.20361328125,0.0,0.0,520.20361328125
2026,MUSEUM,BRAS BASAH,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,MUSEUM,DHOBY GHAUT,XGBoost,12.849989891052246,0.0,0.0,12.849989891052246
2026,MUSEUM,FORT CANNING,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,NEWTON,CAIRNHILL,XGBoost,260.3158874511719,0.0,0.0,260.3158874511719
2026,NEWTON,GOODWOOD PARK,XGBoost,130.45054626464844,0.0,0.0,130.45054626464844
2026,NEWTON,ISTANA NEGARA,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,NEWTON,MONKS HILL,XGBoost,86.96366119384766,0.0,0.0,86.96366119384766
2026,NEWTON,NEWTON CIRCUS,XGBoost,3.7897214889526367,0.0,0.0,3.7897214889526367
2026,NEWTON,ORANGE GROVE,XGBoost,94.4735336303711,0.0,0.0,94.4735336303711
2026,NORTH EASTERN ISLANDS,NORTH EASTERN ISLANDS,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,NOVENA,BALESTIER,XGBoost,1265.8460693359375,0.0,0.0,1265.8460693359375
2026,NOVENA,DUNEARN,XGBoost,163.42111206054688,0.0,0.0,163.42111206054688
2026,NOVENA,MALCOLM,XGBoost,252.1649169921875,0.0,0.0,252.1649169921875
2026,NOVENA,MOULMEIN,XGBoost,862.391357421875,0.0,0.0,862.391357421875
2026,NOVENA,MOUNT PLEASANT,XGBoost,3.119231700897217,0.0,0.0,3.119231700897217
2026,ORCHARD,BOULEVARD,XGBoost,4.814105987548828,0.0,0.0,4.814105987548828
2026,ORCHARD,SOMERSET,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,ORCHARD,TANGLIN,XGBoost,1.6363106966018677,0.0,0.0,1.6363106966018677
2026,OUTRAM,CHINA SQUARE,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,OUTRAM,CHINATOWN,XGBoost,313.44482421875,0.0,0.0,313.44482421875
2026,OUTRAM,PEARLS HILL,XGBoost,134.9026641845703,0.0,0.0,134.9026641845703
2026,OUTRAM,PEOPLES PARK,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,PASIR RIS,FLORA DRIVE,XGBoost,611.0702514648438,0.0,0.0,611.0702514648438
2026,PASIR RIS,LOYANG EAST,XGBoost,70.35199737548828,0.0,0.0,70.35199737548828
2026,PASIR RIS,LOYANG WEST,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,PASIR RIS,PASIR RIS CENTRAL,XGBoost,1457.046630859375,356.6666666666667,42.800000000000004,1457.046630859375
2026,PASIR RIS,PASIR RIS DRIVE,XGBoost,1800.9932861328125,0.0,0.0,1800.9932861328125
2026,PASIR RIS,PASIR RIS PARK,XGBoost,454.00726318359375,0.0,0.0,454.00726318359375
2026,PASIR RIS,PASIR RIS WAFER FAB PARK,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,PASIR RIS,PASIR RIS WEST,XGBoost,1266.9765625,0.0,0.0,1266.9765625
2026,PAYA LEBAR,AIRPORT ROAD,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,PAYA LEBAR,PAYA LEBAR EAST,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,PAYA LEBAR,PAYA LEBAR NORTH,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,PAYA LEBAR,PAYA LEBAR WEST,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,PAYA LEBAR,PLAB,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,PIONEER,BENOI SECTOR,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,PIONEER,GUL BASIN,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,PIONEER,GUL CIRCLE,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,PIONEER,JOO KOON,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,PIONEER,PIONEER SECTOR,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,PUNGGOL,CONEY ISLAND,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,PUNGGOL,MATILDA,XGBoost,3642.145751953125,0.0,0.0,3642.145751953125
2026,PUNGGOL,NORTHSHORE,XGBoost,3220.30126953125,1612.0,193.44,3220.30126953125
2026,PUNGGOL,PUNGGOL CANAL,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,PUNGGOL,PUNGGOL FIELD,XGBoost,2125.69287109375,0.0,0.0,2125.69287109375
2026,PUNGGOL,PUNGGOL TOWN CENTRE,XGBoost,1840.7200927734375,0.0,0.0,1840.7200927734375
2026,PUNGGOL,WATERWAY EAST,XGBoost,3743.553955078125,0.0,0.0,3743.553955078125
2026,QUEENSTOWN,COMMONWEALTH,XGBoost,103.82707977294922,0.0,0.0,103.82707977294922
2026,QUEENSTOWN,DOVER,XGBoost,438.2981872558594,0.0,0.0,438.2981872558594
2026,QUEENSTOWN,GHIM MOH,XGBoost,686.5211181640625,0.0,0.0,686.5211181640625
2026,QUEENSTOWN,HOLLAND DRIVE,XGBoost,302.3561706542969,0.0,0.0,302.3561706542969
2026,QUEENSTOWN,KENT RIDGE,XGBoost,132.6411590576172,0.0,0.0,132.6411590576172
2026,QUEENSTOWN,MARGARET DRIVE,XGBoost,1141.9683837890625,0.0,0.0,1141.9683837890625
2026,QUEENSTOWN,MEI CHIN,XGBoost,477.0456848144531,0.0,0.0,477.0456848144531
2026,QUEENSTOWN,NATIONAL UNIVERSITY OF SPORE,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,QUEENSTOWN,ONE NORTH,XGBoost,103.82707977294922,0.0,0.0,103.82707977294922
2026,QUEENSTOWN,PASIR PANJANG 1,XGBoost,163.42111206054688,0.0,0.0,163.42111206054688
2026,QUEENSTOWN,PASIR PANJANG 2,XGBoost,122.8750991821289,0.0,0.0,122.8750991821289
2026,QUEENSTOWN,PORT,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,QUEENSTOWN,QUEENSWAY,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,QUEENSTOWN,SINGAPORE POLYTECHNIC,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,QUEENSTOWN,TANGLIN HALT,XGBoost,324.1321105957031,0.0,0.0,324.1321105957031
2026,RIVER VALLEY,INSTITUTION HILL,XGBoost,260.3158874511719,0.0,0.0,260.3158874511719
2026,RIVER VALLEY,LEONIE HILL,XGBoost,178.614990234375,0.0,0.0,178.614990234375
2026,RIVER VALLEY,ONE TREE HILL,XGBoost,103.82707977294922,0.0,0.0,103.82707977294922
2026,RIVER VALLEY,OXLEY,XGBoost,78.9868392944336,0.0,0.0,78.9868392944336
2026,RIVER VALLEY,PATERSON,XGBoost,3.072701930999756,0.0,0.0,3.072701930999756
2026,ROCHOR,BENCOOLEN,XGBoost,3.119231700897217,0.0,0.0,3.119231700897217
2026,ROCHOR,FARRER PARK,XGBoost,94.4735336303711,0.0,0.0,94.4735336303711
2026,ROCHOR,KAMPONG GLAM,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,ROCHOR,LITTLE INDIA,XGBoost,78.9868392944336,0.0,0.0,78.9868392944336
2026,ROCHOR,MACKENZIE,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,ROCHOR,MOUNT EMILY,XGBoost,122.8750991821289,0.0,0.0,122.8750991821289
2026,ROCHOR,ROCHOR CANAL,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,ROCHOR,SELEGIE,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,ROCHOR,SUNGEI ROAD,XGBoost,86.96366119384766,0.0,0.0,86.96366119384766
2026,ROCHOR,VICTORIA,XGBoost,33.15884780883789,0.0,0.0,33.15884780883789
2026,SELETAR,PULAU PUNGGOL BARAT,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,SELETAR,PULAU PUNGGOL TIMOR,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,SELETAR,SELETAR,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,SELETAR,SELETAR AEROSPACE PARK,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,SEMBAWANG,ADMIRALTY,XGBoost,545.4575805664062,0.0,0.0,545.4575805664062
2026,SEMBAWANG,SEMBAWANG CENTRAL,XGBoost,1656.482421875,0.0,0.0,1656.482421875
2026,SEMBAWANG,SEMBAWANG EAST,XGBoost,2406.586181640625,0.0,0.0,2406.586181640625
2026,SEMBAWANG,SEMBAWANG NORTH,XGBoost,1079.9119873046875,0.0,0.0,1079.9119873046875
2026,SEMBAWANG,SEMBAWANG SPRINGS,XGBoost,1161.6207275390625,731.0,87.72,1161.6207275390625
2026,SEMBAWANG,SEMBAWANG STRAITS,XGBoost,95.49243927001953,0.0,0.0,95.49243927001953
2026,SEMBAWANG,SENOKO NORTH,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,SEMBAWANG,SENOKO SOUTH,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,SEMBAWANG,THE WHARVES,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,SENGKANG,ANCHORVALE,XGBoost,3356.141357421875,0.0,0.0,3356.141357421875
2026,SENGKANG,COMPASSVALE,XGBoost,1230.6693115234375,0.0,0.0,1230.6693115234375
2026,SENGKANG,FERNVALE,XGBoost,4571.267578125,311.0,37.32,4571.267578125
2026,SENGKANG,LORONG HALUS NORTH,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,SENGKANG,RIVERVALE,XGBoost,2541.543701171875,0.0,0.0,2541.543701171875
2026,SENGKANG,SENGKANG TOWN CENTRE,XGBoost,2762.132568359375,0.0,0.0,2762.132568359375
2026,SENGKANG,SENGKANG WEST,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,SERANGOON,LORONG CHUAN,XGBoost,340.5770263671875,0.0,0.0,340.5770263671875
2026,SERANGOON,SELETAR HILLS,XGBoost,520.20361328125,0.0,0.0,520.20361328125
2026,SERANGOON,SERANGOON CENTRAL,XGBoost,668.53173828125,0.0,0.0,668.53173828125
2026,SERANGOON,SERANGOON GARDEN,XGBoost,1281.0399169921875,0.0,0.0,1281.0399169921875
2026,SERANGOON,SERANGOON NORTH,XGBoost,563.87646484375,0.0,0.0,563.87646484375
2026,SERANGOON,SERANGOON NORTH IND ESTATE,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,SERANGOON,UPPER PAYA LEBAR,XGBoost,774.7196044921875,0.0,0.0,774.7196044921875
2026,SIMPANG,PULAU SELETAR,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,SIMPANG,SIMPANG NORTH,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,SIMPANG,SIMPANG SOUTH,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
